,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,収容外部EPG一覧（千葉）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tenant名,テナント名,VRF名,"L3-Out名
(NW名)","外部EPG名
(NW名)",接続先,"ルーティング
方式","ACI内
ルーティング
制御","ACI外
広報経路",Static Route,,OSPF,,機器名,"収容Leaf
(ホスト名）",論理ノード名,"ルータID
/Loopback IP",収容ポート,Path Type,"Path
(PC/vPC)",Logical Node Profile,OSPF,,,,,,,,ポート種別,VLAN ID,"IPアドレス
（ゲートウェイ）","セカンダリIPアドレス
（VIP）",MTU,VLAN Mode,接続先,,QoS区分,QoS,備考
,,,,,,,,,,Prefix,Next-Hop,Area ID,Area type,,,,,,,,Logical Interface,Logical Interface,Priority,Cost,Network-Type,Hello Interval,Dead Interval,Retransmit Interval,Transmit Deley,,,,,,,物理装置名,物理Port名,,クラシファイ,
,,,,l3out-pinfasr01,exepg-pinfasr01,ASR,OSPF,0.0.0.0/0,0.0.0.0/0,-,-,1,Regular,千葉本番 Leaf(Border)#1,nwch-i9318-zlfb1011,logic-nd-101,10.254.88.246,Eth1/07,Port,-,logic-int-prof-101-07,ospf-int-pol-101-07,-,0(default),Point-to-point,1,4,1,1,SVI,802,11.39.158.65/28,-,1500,Trunk(tag付き),nwch-r1001-zclh010,TE3,本番業務面情報系,Level1,
,,,,,,,,,,,,,,千葉本番 Leaf(Border)#2,nwch-i9318-zlfb1022,logic-nd-102,10.254.88.245,Eth1/07,Port,-,logic-int-prof-102-07,ospf-int-pol-102-07,-,0(default),Point-to-point,1,4,1,1,SVI,803,11.39.158.80/28,-,1500,Trunk(tag付き),nwch-r1001-zclh010,TE4,,,
,ch-pope,本番運用面,vrf-pope,l3out-popedist,exepg-popedist,Dist,OSPF,0.0.0.0/0,0.0.0.0/0,-,-,0,Regular,千葉本番 Leaf(Border)#1,nwch-i9318-zlfb1011,logic-nd-101,11.46.160.248,Eth1/03,Direct Port Channel,pol-pc-101-p3,logic-int-prof-101-03,ospf-int-pol-101-03,-,0(default),Point-to-point,1,4,1,1,SVI,3946,11.46.160.34/30,-,1500,Trunk(tag付き),nwch-r5672-udcd030,Eth1/2,本番運用面,Level2,
,,,,,,,,,,,,,,,,,,Eth1/04,Direct Port Channel,pol-pc-101-p4,logic-int-prof-101-04,,-,0(default),Point-to-point,1,4,1,1,SVI,3949,11.46.160.46/30,-,1500,Trunk(tag付き),nwch-r5672-udcd040,Eth1/2,,,
,,,,,,,,,,,,,,千葉本番 Leaf(Border)#2,nwch-i9318-zlfb1022,logic-nd-102,11.46.160.247,Eth1/03,Direct Port Channel,pol-pc-102-p3,logic-int-prof-102-03,ospf-int-pol-102-03,-,0(default),Point-to-point,1,4,1,1,SVI,3948,11.46.160.42/30,-,1500,Trunk(tag付き),nwch-r5672-udcd030,Eth1/14,,,
,,,,,,,,,,,,,,,,,,Eth1/04,Direct Port Channel,pol-pc-102-p4,logic-int-prof-102-04,,-,0(default),Point-to-point,1,4,1,1,SVI,3947,11.46.160.38/30,-,1500,Trunk(tag付き),nwch-r5672-udcd040,Eth1/14,,,
,,,,l3out-popeesg,exepg-popeesg,ESG(NSX),OSPF,0.0.0.0/0,0.0.0.0/0,-,-,310,NSSA,千葉本番 Leaf(VM6)#1,nwch-i9318-zlfs4011,logic-nd-401,11.41.255.5,Eth1/01,Port,-,logic-int-prof-401-01,ospf-int-pol-401-01,255,0(default),Broadcast,1,4,1,1,SVI,1498,11.42.159.193/28,-,1500,Trunk(tag付き),Blade Chassis#48,PTM1-1,本番運用面,Level2,管理クラスタ(CL_DC_C61_MG1)、ESG01c(運用系01)
,,,,,,,,,,,,,,,,,,Eth1/02,Port,-,,,255,0(default),Broadcast,1,4,1,1,SVI,1498,11.42.159.193/28,-,1500,Trunk(tag付き),Blade Chassis#48,PTM1-2,,,管理クラスタ(CL_DC_C61_MG1)、ESG02c(運用系02)
,,,,,,,,,,,,,,,,,,Eth1/17,Port,-,,,255,0(default),Broadcast,1,4,1,1,SVI,1498,11.42.159.193/28,-,1500,Trunk(tag付き),Blade Chassis#49,PTM1-1,,,管理クラスタ(CL_DC_C61_MG1)
,,,,,,,,,,,,,,,,,,Eth1/18,Port,-,,,255,0(default),Broadcast,1,4,1,1,SVI,1498,11.42.159.193/28,-,1500,Trunk(tag付き),Blade Chassis#49,PTM1-2,,,管理クラスタ(CL_DC_C61_MG1)
