,,,,,,,,,,,,,,,,,,,,,,,,
,収容EPG一覧（多摩）,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Tenant名,テナント名,VRF名,BD名(NW名),GW有無,Querier IP,"IGMP
Snooping","IPアドレス
（GW）",Associated L3out,EPG名(NW名),用途（サブネット名）,"システム名称
（英数字のみ、一意な値）",VLAN ID,"収容Leaf
（ホスト名）",収容ポート,Path Type,"PC/vPC
インターフェイスポリシー",VLAN Mode,接続先サーバ,,,QoS区分,Custom QoS,備考
,,,,,,,,,,,,,,,,,,,物理装置名,VM名 or 機能名,物理NIC名,,QoS Policy,
,,,,bd-pNMSNBkanshi,有,無効,有効,11.18.129.33/27,l3out-popedist,epg-pNMSNBkanshi,NMS_運用多摩NB監視LAN1,pNMSNBkanshi,1253,nwtm-i9318-zlfs4011,"Eth1/3,4,19",Port,,Trunk(tag付き),,,,本番運用,custom-qos-pope-pol,
,,,,,,,,,,,,,,nwtm-i9318-zlfs4011,"Eth1/33,34,35,36",Port Channel,pol-pc-401-p5,Trunk(tag付き),,,,本番運用,,
,,,,,,,,,,,,,,nwtm-i9318-zlfs4022,"Eth1/3,4,19",Port,,Trunk(tag付き),,,,本番運用,,
,,,,,,,,,,,,,,nwtm-i9318-zlfs4022,"Eth1/33,34,35,36",Port Channel,pol-pc-402-p6,Trunk(tag付き),,,,本番運用,,
,,,,bd-pNMSNBunyo,有,無効,有効,11.18.129.97/27,l3out-popedist,epg-pNMSNBunyo,NMS_運用多摩NB運用LAN1,pNMSNBunyo,1255,nwtm-i9318-zlfs4011,"Eth1/3,4,19",Port,,Trunk(tag付き),,,,本番運用,custom-qos-pope-pol,
,,,,,,,,,,,,,,nwtm-i9318-zlfs4011,"Eth1/33,34,35,36",Port Channel,pol-pc-401-p5,Trunk(tag付き),,,,本番運用,,
,,,,,,,,,,,,,,nwtm-i9318-zlfs4022,"Eth1/3,4,19",Port,,Trunk(tag付き),,,,本番運用,,
,,,,,,,,,,,,,,nwtm-i9318-zlfs4022,"Eth1/33,34,35,36",Port Channel,pol-pc-402-p6,Trunk(tag付き),,,,本番運用,,
,tm-tinf,本昇業務面情報系,vrf-tinf,bd-tHitachiSV_m2020,有,無効,有効,11.15.128.129/26,"l3out-tinfdist
l3out-tinftasr01",epg-tHitachiSV_m2020,サービスセグメント(日立サーバ収容)_Mintra2020,tHitachiSV_m2020,1102,nwtm-i9318-zlfs4031,Eth1/1,Port,,Trunk(tag付き),,,,開発,custom-qos-test-pol,
,,,,,,,,,,,,,,,Eth1/2,Port,,Trunk(tag付き),,,,,,
,,,,,,,,,,,,,,,Eth1/3,Port,,Trunk(tag付き),,,,,,
,,,,,,,,,,,,,,,Eth1/4,Port,,Trunk(tag付き),,,,,,
,,,,,,,,,,,,,,,Eth1/5,Port,,Trunk(tag付き),,,,,,
,,,,,,,,,,,,,,,Eth1/6,Port,,Trunk(tag付き),,,,,,
,,,,,,,,,,,,,,,Eth1/7,Port,,Trunk(tag付き),,,,,,
,,,,,,,,,,,,,,,Eth1/8,Port,,Trunk(tag付き),,,,,,
,,,,,,,,,,,,,,nwtm-i9318-zlfs4042,Eth1/1,Port,,Trunk(tag付き),,,,,,
,,,,,,,,,,,,,,,Eth1/2,Port,,Trunk(tag付き),,,,,,
,,,,,,,,,,,,,,,Eth1/3,Port,,Trunk(tag付き),,,,,,
,,,,,,,,,,,,,,,Eth1/4,Port,,Trunk(tag付き),,,,,,
,,,,,,,,,,,,,,,Eth1/5,Port,,Trunk(tag付き),,,,,,
,,,,,,,,,,,,,,,Eth1/6,Port,,Trunk(tag付き),,,,,,
,,,,,,,,,,,,,,,Eth1/7,Port,,Trunk(tag付き),,,,,,
,,,,,,,,,,,,,,,Eth1/8,Port,,Trunk(tag付き),,,,,,
,,,,bd-tstorage_m2020,有,無効,有効,11.15.128.193/26,"l3out-tinfdist
l3out-tinftasr01",epg-tstorage_m2020,サービスセグメント(ストレージ管理)_Mintra2020,tstorage_m2020,1103,nwtm-i9318-zlfs4031,Eth1/9,Port,,Untagged,,,,開発,custom-qos-test-pol,
,,,,,,,,,,,,,,,Eth1/10,Port,,Untagged,,,,,,
,,,,,,,,,,,,,,,Eth1/11,Port,,Untagged,,,,,,
,,,,,,,,,,,,,,,Eth1/12,Port,,Untagged,,,,,,
,,,,,,,,,,,,,,,Eth1/13,Port,,Untagged,,,,,,
,,,,,,,,,,,,,,nwtm-i9318-zlfs4042,Eth1/9,Port,,Untagged,,,,,,
,,,,,,,,,,,,,,,Eth1/10,Port,,Untagged,,,,,,
,,,,,,,,,,,,,,,Eth1/11,Port,,Untagged,,,,,,
,,,,,,,,,,,,,,,Eth1/12,Port,,Untagged,,,,,,
,,,,bd-texadata_gyomu-1,有,無効,有効,11.15.130.1/27,"l3out-tinfdist
l3out-tinfasr01",epg-texadata_gyomu-1,Exadata X8_VM用業務セグメント#1,texadata_gyomu-1,1105,nwtm-i9318-zlfs4031,Eth1/14,Port,,Trunk(tag付き),,,,開発,custom-qos-test-pol,
,,,,,,,,,,,,,,,Eth1/15,Port,,Trunk(tag付き),,,,,,
