別冊xx_収容システム一覧,,,,,
リビジョン,担当,変更日,区分,内容,実機反映
r8,杉山,2019/03/12,修正,"・NMS案件にて以下につきNMSテナント(tm-pnms)の以下シートを精緻化
収容EPG一覧(多摩、千葉本)⇒J列につき修正
 l3out-pnmsdist⇒l3out-tnmsdist
※本番Dist接続のタイミングでl3out-pnmsdistを新規作成する予定。
",
r9,杉山,2019/03/12,修正,"・NMS案件にて以下につきNMSテナント(tm-pnms)の以下シートを精緻化
収容EPG一覧(多摩)⇒M列につき修正
(修正前)
bd-ptNMS_PORTALunyo
bd-ptNMS_Replication
(修正後)
bd-pNMS_PORTALunyo
bd-pNMS_Replication

",
r10,杉山,2019/03/15,修正,"・NMS案件にて以下につきNMSテナント(tm-pnms)の以下シートをvlan修正
外部収容EPG一覧(多摩、千葉本)
（変更前⇒変更後）
3964⇒3950
3965⇒3951
3966⇒3952
3967⇒3953
3968⇒3942
3969⇒3943
3970⇒3944
3971⇒3945

",
r11,丹波,2019/04/16,追加,"次期外決案件にてESG用のL3Out設定を追加(千葉開発)
■収容外部EPG一覧(千葉開)

SynergyとのL3Out設定追加(対向機器名称未記載)
千葉開発勘定…l3out-taccesg2、l3out-taccesg3追記
千葉開発運用…l3out-taccesg2、l3out-taccesg3追記

■コントラクト一覧(千葉開)

外部EPG(ESG2およびESG3)のコントラクト追記
千葉開発勘定…cont-both-topeesg2-vzany、cont-both-topeesg3-vzany
千葉開発運用…cont-both-topeesg2-vzany、cont-both-topeesg3-vzany
",
r12,NOS 大澤,2019/04/16,修正,"収容EPG一覧(多摩)
・収容EPG一覧(多摩)_暫定リリース(既存Leaf)に一時名称変更
・M'intra2020案件のEPG,BDを追加
コントラクト一覧(多摩)
・M'intra2020案件のContractを追加",
r13,NOS,2019/06/13,修正,"収容EPG一覧(多摩)
・収容EPG一覧(多摩)_本番リリース(新規Leaf)を追加",
r14,柏原,2019/7/2,修正,"収容EPG一覧(多摩)_暫定リリース(既存Leaf)
・tm-pnmsに下記BDを追加
  bd-pNMS_BigipVip_ISE
・tm-pnmsの各BDのAssociated L3outを下記に変更
  l3out-pnmsdist

収容EPG一覧(千葉本)
・tm-pnmsの各BDのAssociated L3outを下記に変更
  l3out-pnmsdist
",
r15,"CS原田
(r12)",2019/4/25,修正,"収容EPG一覧(多摩、千葉本)
・Synergy案件の本番運用BD,EPG追加（本昇時に追加するものを予め記載）の修正
コントラクト一覧(多摩、千葉本)
・Synergy案件の本番運用コントラクト追加（本昇時に追加するものを予め記載）の修正",
r16,"CS原田
(r11)",2019/4/12,追加,"収容EPG一覧(千葉開)
・次期外決案件のEPG,BDを追加
コントラクト一覧(千葉開)
・次期外決案件のContractを追加",
r17,"CS松田
(r2.1)",2019/2/7,修正,"収容EPG一覧(多摩)
　・本番運用面テナントのリモートサポート内側セグメントのIPアドレス(GW）の修正
　　　11.18.128.128/28　→　11.18.128.129/28
　・本番運用面テナントのリモートサポート内側セグメントに""Associated L3out""の情報を追記
　・本昇運用面テナントのリモートサポート内側セグメントに""Associated L3out""の情報を追記
収容EPG一覧(千葉本)
　・本番運用テナントのリモートサポート内側セグメントのIPアドレス(GW）の修正
　　　11.18.128.128/28　→　11.42.128.129/28
　・本番運用面テナントのリモートサポート内側セグメントに""Associated L3out""の情報を追記
　・本昇運用面テナントのリモートサポート内側セグメントに""Associated L3out""の情報を追記
全シート
　印字枠外に構築予定、削除予定の欄を追加",
r18,"CS松田
(r2.2)",2019/2/12,追加,"収容EPG一覧(千葉開)
・NMS案件(本体 IA仮想)のEPG,BDを追加
コントラクト一覧(千葉開)
・NMS案件(本体 IA仮想)のContractを追加",
r19,柏原,2019/8/5,追加,"収容EPG一覧(千葉本)に下記EPGを追加
・epg-tNMS_NMkanshi
・epg-tNMS_NMunyo

コントラクト一覧(千葉本)に下記Contractを追加
・cont-uni-epg-tNMS_NMkanshi
・cont-uni-epg-tNMS_NMunyo
",
r20,柏原,2019/9/9,追加,"下記シートに新規テナントを追加
■収容EPG一覧(多摩)_暫定リリース(既存Leaf)/コントラクト一覧(多摩)
・tm-pwan

■収容EPG一覧(千葉本)/コントラクト一覧(千葉)
・ch-pwan

下記シートにEPG、BD、Contractを追加（次期外決、Exadata X8）
■収容EPG一覧(多摩)_暫定リリース(既存Leaf)
・tm-tope
　epg-tama_kanriLAN2
　epg-vSAN
・tm-vinf
　epg-chiba_kanriLAN2

■収容EPG一覧(多摩)_新規Leaf
・tm-tope
　epg-texadata_unyo-1～8
　epg-texadata_kanri
・tm-tinf
　epg-texadata_gyomu-1～8

■収容EPG一覧(千葉本)
・ch-tope
　epg-chiba_kanriLAN2
　epg-vSAN
・ch-vinf
　epg-tama_kanriLAN2

",
,,,,"■コントラクト一覧(多摩)
・tm-tope
　cont-uni-epg-tama_kanriLAN2
　cont-uni-epg-vSAN
　cont-uni-epg-texadata_unyo-1～8
　cont-uni-epg-texadata_kanri
・tm-vinf
　cont-uni-epg-chiba_kanriLAN2
・tm-tinf
　cont-uni-epg-texadata_gyomu-1～8

■コントラクト一覧(千葉本)
・ch-tope
　cont-uni-epg-chiba_kanriLAN2
　cont-uni-epg-vSAN
・ch-vinf
　cont-uni-epg-tama_kanriLAN2


下記Contractに宛先EPGを追加（M'intra ST通信要件対応）
■コントラクト一覧(多摩)
・tm-tope
cont-uni-epg-tDHCP_m2020
cont-uni-epg-tVMKernel_m2020
cont-uni-epg-tvMotion_m2020
",
r21,柏原,2019/9/13,追加,"コントラクト一覧(多摩)
tm-tinf、tm-topeの「宛先システム」「宛先EPG」を追加

コントラクト一覧(千葉開)
ch-tinft、ch-topetにコントラクト追加
",
r22,柏原,2019/9/27,追加,"収容外部EPG一覧(多摩)
 tm-tacc,tm-tope,tm-pwanに外部EPGを追加

収容外部EPG一覧(千葉本)
 ch-tacc,ch-tope,ch-pwanに外部EPGを追加

コントラクト一覧(多摩)
 tm-tacc,tm-tope,tm-pwanにContractを追加

コントラクト一覧(千葉本)
 ch-tacc,ch-tope,ch-pwanに外部Contractを追加

収容VRF一覧
 tm-pwan,ch-pwanを追加",
r23,柏原,2019/10/10,追加,"収容EPG一覧(千葉本)
 ch-topeのbd-tNMS_NMkanshi、bd-tNMS_NMunyoをグレーアウト

収容EPG一覧(多摩)_新規Leaf、収容EPG一覧(多摩)_暫定リリース(既存Leaf)
 収容EPG一覧(多摩)に統合
",
r24,柏原,2019/11/21,追加,"収容EPG一覧(千葉本)
ch-tope,ch-tinf,ch-tbakのEPGを追加

コントラクト一覧(千葉本)
ch-tope,ch-tinf,ch-tbakのContractを追加",
r25,柏原,2019/12/10,追加,"収容EPG一覧(千葉開)
 ch-tinft/ch-topetにBD/EPGを追加

コントラクト一覧(千葉開)
 ch-tinft/ch-topetにContractを追加
",
r26,柏原,2019/12/20,追加,"収容外部EPG一覧(多摩)
　l3out-pinfasr01の対象ポートを追加

収容EPG一覧(多摩)
　tm-popeに下記EPGを追加
・epg-pDHCP_m2020
・epg-pVMKernel_m2020
・epg-pvMotion_m2020

　tm-pinfに下記EPGを追加
epg-pHitachiSV_m2020
epg-pstorage_m2020
",
r27,小峰,2020/1/8,追加,"コントラクト一覧(多摩)
tm-pinfに下記コントラクトを追加
cont-uni-epg-pHitachiSV_m2020
cont-uni-epg-pstorage_m2020

tm-popeに下記コントラクトを追加
cont-uni-epg-pDHCP_m2020
cont-uni-epg-pVMKernel_m2020
cont-uni-epg-pvMotion_m2020",
r28,柏原,2020/1/14,修正,"収容EPG一覧(千葉開)

下記EPGの収容Leafを4051/4062から4011/4022に変更
epg-purestorage_iSCSI
epg-purestorage_unyokanri",
r29,小峰,2020/1/30,修正,"収容EPG一覧(千葉開)

下記EPGの対象ポートを追加。
bd-purestorage_unyokanri
bd-purestorage_iSCSI",
r30,小峰,2020/1/31,修正,"収容EPG一覧(千葉開)

下記EPGのEth33-36のPath Typeを修正。
bd-purestorage_unyokanri
bd-purestorage_iSCSI",
r31,小峰,2020/2/5,追加,"収容EPG一覧(多摩)/収容EPG一覧(千葉本)に下記EPGを追加。
epg-purestorage_iSCSI
epg-purestorage_unyokanri",
r32,小峰,2020/2/5,追加,"コントラクト一覧(多摩)/コントラクト一覧(千葉本)に下記コントラクトを追加。
cont-uni-epg-purestorage_unyokanri
cont-uni-epg-purestorage_iSCSI",
