,,,,,,,,,,,,,,,
,コントラクト一覧（千葉開発）,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Tenant名,VRF名,コントラクト名,Subject,用途,通信方向,"送信元システム
（サブネット名等）","宛先システム
（サブネット名等）","送信元EPG
（Provided)","宛先EPG
（Consumed)",備考,,,,
,,,,,,,,,,,,,,,
,ch-tacct,vrf-tacc,cont-both-taccdist-vzany,cont-subject,外部EPG接続,双方向許可,tacc-Dist,全システム,exepg-taccdist,vzAny,,,,,
,,,cont-uni-epg-tNMSNBunyo,cont-subject,システム間,片方向のみ許可,NMS_運用千葉NB運用LAN1,NMS_運用千葉NB監視LAN1,epg-tNMSNBunyo,epg-tNMSNBkanshi,,2018/11/8済,-,,
,,,,,,,NMS_運用千葉NB運用LAN1,NMS_運用千葉AD監視LAN1,epg-tNMSNBunyo,epg-tNMSADkanshi,,2/21/19,,,
,,,,,,,NMS_運用千葉NB運用LAN1,NMS_運用千葉ポータル監視LAN1,epg-tNMSNBunyo,epg-tNMSportalkanshi,,2/21/19,,,
,,,,,,,NMS_運用千葉NB運用LAN1,NMS_運用千葉AD運用LAN1,epg-tNMSNBunyo,epg-tNMSADunyo,,2/21/19,,,
,,,,,,,NMS_運用千葉NB運用LAN1,NMS_運用千葉ポータル運用LAN1,epg-tNMSNBunyo,epg-tNMSportalunyo,,2/21/19,,,
,,,cont-uni-epg-tNMSADkanshi,cont-subject,システム間,片方向のみ許可,NMS_運用千葉AD監視LAN1,NMS_運用千葉ポータル監視LAN1,epg-tNMSADkanshi,epg-tNMSportalkanshi,,2/21/19,-,,
,,,,,,,NMS_運用千葉AD監視LAN1,NMS_運用千葉ポータル運用LAN1,epg-tNMSADkanshi,epg-tNMSportalunyo,,2/21/19,-,,
,,,,,,,NMS_運用千葉AD監視LAN1,NMS_運用千葉NB監視LAN1,epg-tNMSADkanshi,epg-tNMSNBkanshi,,2/21/19,-,,
,,,,,,,NMS_運用千葉AD監視LAN1,NMS_運用千葉NB運用LAN1,epg-tNMSADkanshi,epg-tNMSNBunyo,,2/21/19,-,,
,,,cont-uni-epg-tNMSportalkanshi,cont-subject,システム間,片方向のみ許可,NMS_運用千葉ポータル監視LAN1,NMS_運用千葉AD監視LAN1,epg-tNMSportalkanshi,epg-tNMSADkanshi,,2/21/19,-,,
,,,,,,,NMS_運用千葉ポータル監視LAN1,NMS_運用千葉AD運用LAN1,epg-tNMSportalkanshi,epg-tNMSADunyo,,2/21/19,-,,
,,,,,,,NMS_運用千葉ポータル監視LAN1,NMS_運用千葉NB監視LAN1,epg-tNMSportalkanshi,epg-tNMSNBkanshi,,2/21/19,-,,
,,,,,,,NMS_運用千葉ポータル監視LAN1,NMS_運用千葉NB運用LAN1,epg-tNMSportalkanshi,epg-tNMSNBunyo,,2/21/19,-,,
,,,cont-uni-epg-tNMSADunyo,cont-subject,システム間,片方向のみ許可,NMS_運用千葉AD運用LAN1,NMS_運用千葉ポータル監視LAN1,epg-tNMSADunyo,epg-tNMSportalkanshi,,2/21/19,-,,
,,,,,,,NMS_運用千葉AD運用LAN1,NMS_運用千葉ポータル運用LAN1,epg-tNMSADunyo,epg-tNMSportalunyo,,2/21/19,-,,
,,,,,,,NMS_運用千葉AD運用LAN1,NMS_運用千葉NB監視LAN1,epg-tNMSADunyo,epg-tNMSNBkanshi,,2/21/19,-,,
,,,,,,,NMS_運用千葉AD運用LAN1,NMS_運用千葉NB運用LAN1,epg-tNMSADunyo,epg-tNMSNBunyo,,2/21/19,-,,
