,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,収容外部EPG一覧（千葉開発）,,,,,,,,,,,,,,,,,,,追加,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tenant名,テナント名,VRF名,"L3-Out名
(NW名)","外部EPG名
(NW名)",接続先,"ルーティング
方式","ACI内
ルーティング
制御","ACI外
広報経路",Static Route,,OSPF,,機器名,"収容Leaf
(ホスト名）",論理ノード名,"ルータID
/Loopback IP",収容ポート,Path Type,"Path
(PC/vPC)",Logical Node Profile,OSPF,,,,,,,,ポート種別,VLAN ID,"IPアドレス
（ゲートウェイ）","セカンダリIPアドレス
（VIP）",MTU,VLAN Mode,接続先,,QoS区分,QoS,備考
,,,,,,,,,,Prefix,Next-Hop,Area ID,Area type,,,,,,,,Logical Interface,Logical Interface,Priority,Cost,Network-Type,Hello Interval,Dead Interval,Retransmit Interval,Transmit Deley,,,,,,,物理装置名,物理Port名,,クラシファイ,
,ch-tacct,開発業務面勘定系,vrf-tacc,l3out-taccdist,exepg-taccdist,Dist,OSPF,"0.0.0.0/0
,,,,,,,,,,,,,,,,,,Eth1/34,Direct Port Channel,,,,255,0(default),Broadcast,1,4,1,1,SVI,2289,12.27.31.177/28,-,1500,Trunk(tag付き),千葉災対1 HPE Virtual Connect Ethernet #2,Q4,,,疑似千葉環境ESG
,,,,,,,,,,,,,,,,,,Eth1/35,Direct Port Channel,,,,255,0(default),Broadcast,1,4,1,1,SVI,2289,12.27.31.177/28,-,1500,Trunk(tag付き),千葉災対1 HPE Virtual Connect Ethernet #2,Q5,,,疑似千葉環境ESG
,,,,,,,,,,,,,,,,,,Eth1/36,Direct Port Channel,,,,255,0(default),Broadcast,1,4,1,1,SVI,2289,12.27.31.177/28,-,1500,Trunk(tag付き),千葉災対1 HPE Virtual Connect Ethernet #2,Q6,,,疑似千葉環境ESG
,ch-ｔinft,開発業務面情報系,vrf-ｔinf,l3out-tinfdist,exepg-tinfdist,Dist,OSPF,0.0.0.0/0,0.0.0.0/0,-,-,0,Regular,千葉開発 Leaf(Border)#1,nwch-i9318-zlfb1011t,logic-nd-101,10.253.88.242,Eth1/17,Direct Port Channel,pol-pc-101-t1,logic-int-prof-101-17,ospf-int-pol-101-17,-,0(default),Point-to-point,1,4,1,1,SVI,629,10.253.88.66/30,-,1500,Trunk(tag付き),フロア間PP(増築2F:MM),"Gi6-1,2",開発業務面情報系,Level3,
,,,,,,,,,,,,,,,,,,Eth1/18,Direct Port Channel,pol-pc-101-t2,,,-,0(default),Point-to-point,1,4,1,1,SVI,632,10.253.88.78/30,-,1500,Trunk(tag付き),フロア間PP(増築2F:MM),"Gi6-3,4",,,
,,,,,,,,,,,,,,千葉開発 Leaf(Border)#2,nwch-i9318-zlfb1022t,logic-nd-102,10.253.88.241,Eth1/17,Direct Port Channel,pol-pc-102-t1,logic-int-prof-102-17,ospf-int-pol-102-17,-,0(default),Point-to-point,1,4,1,1,SVI,631,10.253.88.74/30,-,1500,Trunk(tag付き),フロア間PP(増築2F:MM),"SM5-5,6",,,
,,,,,,,,,,,,,,,,,,Eth1/18,Direct Port Channel,pol-pc-102-t2,,,-,0(default),Point-to-point,1,4,1,1,SVI,630,10.253.88.70/30,-,1500,Trunk(tag付き),フロア間PP(増築2F:MM),"SM5-7,8",,,
,,,,l3out-tinfesg,exepg-tinfesg,ESG(NSX),OSPF,0.0.0.0/0,0.0.0.0/0,-,-,310,NSSA,千葉開発 Leaf(VM6)#1,nwch-i9318-zlfs4011t,logic-nd-401,12.41.255.131,Eth1/01,Port,-,logic-int-prof-401-01,ospf-int-pol-401-01,255,0(default),Broadcast,1,4,1,1,SVI,2296,12.39.159.225/28,-,1500,Trunk(tag付き),Blade Chassis#50,PTM1-1,開発業務面情報系,Level3,開発管理クラスタ(CL_DC_D61_MG1)
,,,,,,,,,,,,,,,,,,Eth1/02,Port,-,,,255,0(default),Broadcast,1,4,1,1,SVI,2296,12.39.159.225/28,-,1500,Trunk(tag付き),Blade Chassis#50,PTM1-2,,,開発管理クラスタ(CL_DC_D61_MG1)
,,,,,,,,,,,,,,,,,,Eth1/03,Port,-,,,255,0(default),Broadcast,1,4,1,1,SVI,2296,12.39.159.225/28,-,1500,Trunk(tag付き),Blade Chassis#50,PTM1-3,,,検証管理クラスタ(CL_DC_P61_MG1)
,,,,,,,,,,,,,,,,,,Eth1/04,Port,-,,,255,0(default),Broadcast,1,4,1,1,SVI,2296,12.39.159.225/28,-,1500,Trunk(tag付き),Blade Chassis#50,PTM1-4,,,検証管理クラスタ(CL_DC_P61_MG1)
,,,,,,,,,,,,,,,,,,Eth1/17,Port,-,,,255,0(default),Broadcast,1,4,1,1,SVI,2296,12.39.159.225/28,-,1500,Trunk(tag付き),Blade Chassis#51,PTM1-1,,,開発管理クラスタ(CL_DC_D61_MG1)、ESG01b(情報系01)
,,,,,,,,,,,,,,,,,,Eth1/18,Port,-,,,255,0(default),Broadcast,1,4,1,1,SVI,2296,12.39.159.225/28,-,1500,Trunk(tag付き),Blade Chassis#51,PTM1-2,,,開発管理クラスタ(CL_DC_D61_MG1)、ESG02b(情報系02)
,,,,,,,,,,,,,,,,,,Eth1/19,Port,-,,,255,0(default),Broadcast,1,4,1,1,SVI,2296,12.39.159.225/28,-,1500,Trunk(tag付き),Blade Chassis#51,PTM1-3,,,検証管理クラスタ(CL_DC_P61_MG1)、ESG01b(情報系01)※検証用
,,,,,,,,,,,,,,,,,,Eth1/20,Port,-,,,255,0(default),Broadcast,1,4,1,1,SVI,2296,12.39.159.225/28,-,1500,Trunk(tag付き),Blade Chassis#51,PTM1-4,,,検証管理クラスタ(CL_DC_P61_MG1)、ESG02b(情報系02)※検証用
,,,,,,,,,,,,,,千葉開発 Leaf(VM6)#2,nwch-i9318-zlfs4022t,logic-nd-402,12.41.255.132,Eth1/01,Port,-,logic-int-prof-402-01,ospf-int-pol-402-01,255,0(default),Broadcast,1,4,1,1,SVI,2297,12.39.159.241/28,-,1500,Trunk(tag付き),Blade Chassis#50,PTM2-1,,,開発管理クラスタ(CL_DC_D61_MG1)
,,,,,,,,,,,,,,,,,,Eth1/02,Port,-,,,255,0(default),Broadcast,1,4,1,1,SVI,2297,12.39.159.241/28,-,1500,Trunk(tag付き),Blade Chassis#50,PTM2-2,,,開発管理クラスタ(CL_DC_D61_MG1)
,,,,,,,,,,,,,,,,,,Eth1/03,Port,-,,,255,0(default),Broadcast,1,4,1,1,SVI,2297,12.39.159.241/28,-,1500,Trunk(tag付き),Blade Chassis#50,PTM2-3,,,検証管理クラスタ(CL_DC_P61_MG1)
,,,,,,,,,,,,,,,,,,Eth1/04,Port,-,,,255,0(default),Broadcast,1,4,1,1,SVI,2297,12.39.159.241/28,-,1500,Trunk(tag付き),Blade Chassis#50,PTM2-4,,,検証管理クラスタ(CL_DC_P61_MG1)
,,,,,,,,,,,,,,,,,,Eth1/17,Port,-,,,255,0(default),Broadcast,1,4,1,1,SVI,2297,12.39.159.241/28,-,1500,Trunk(tag付き),Blade Chassis#51,PTM2-1,,,開発管理クラスタ(CL_DC_D61_MG1)、ESG01b(情報系01)
,,,,,,,,,,,,,,,,,,Eth1/18,Port,-,,,255,0(default),Broadcast,1,4,1,1,SVI,2297,12.39.159.241/28,-,1500,Trunk(tag付き),Blade Chassis#51,PTM2-2,,,開発管理クラスタ(CL_DC_D61_MG1)、ESG02b(情報系02)
,,,,,,,,,,,,,,,,,,Eth1/19,Port,-,,,255,0(default),Broadcast,1,4,1,1,SVI,2297,12.39.159.241/28,-,1500,Trunk(tag付き),Blade Chassis#51,PTM2-3,,,検証管理クラスタ(CL_DC_P61_MG1)、ESG01b(情報系01)※検証用
,,,,,,,,,,,,,,,,,,Eth1/20,Port,-,,,255,0(default),Broadcast,1,4,1,1,SVI,2297,12.39.159.241/28,-,1500,Trunk(tag付き),Blade Chassis#51,PTM2-4,,,検証管理クラスタ(CL_DC_P61_MG1)、ESG02b(情報系02)※検証用
,,,,l3out-tinfasr01,exepg-tinfasr01,ASR,OSPF,0.0.0.0/0,0.0.0.0/0,-,-,1,Regular,千葉開発 Leaf(Border)#1,nwch-i9318-zlfb1011t,logic-nd-101,10.253.88.242,Eth1/01,Direct Port Channel,pol-pc-101-t1,logic-int-prof-101-01,ospf-int-pol-101-01,-,0(default),Point-to-point,1,4,1,1,SVI,904,12.39.158.193/28,-,1500,Trunk(tag付き),nwch-r1001-zclh010,TE3,開発業務面情報系,Level3,
