,,,,,,,,,,,,,,,,,,,,,,,,
,収容EPG一覧（多摩）,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Tenant名,テナント名,VRF名,BD名(NW名),GW有無,Querier IP,"IGMP
Snooping","IPアドレス
（GW）",Associated L3out,EPG名(NW名),用途（サブネット名）,"システム名称
（英数字のみ、一意な値）",VLAN ID,"収容Leaf
（ホスト名）",収容ポート,Path Type,"PC/vPC
インターフェイスポリシー",VLAN Mode,接続先サーバ,,,QoS区分,Custom QoS,備考
,,,,,,,,,,,,,,,,,,,物理装置名,VM名 or 機能名,物理NIC名,,QoS Policy,
,,,,,,,,,,,,,,,Eth1/8,Port,,Trunk(tag付き),,,,,,
,,,,bd-pVMKernel_m2020,有,無効,有効,11.18.133.65/26,l3out-popedist,epg-pVMKernel_m2020,VMkernelセグメント_Mintra2020,pVMKernel_m2020,1273,nwtm-i9318-zlfs4031,Eth1/1,Port,,Trunk(tag付き),,,,本番運用,custom-qos-pope-pol,
,,,,,,,,,,,,,,,Eth1/2,Port,,Trunk(tag付き),,,,,,
,,,,,,,,,,,,,,,Eth1/3,Port,,Trunk(tag付き),,,,,,
,,,,,,,,,,,,,,,Eth1/4,Port,,Trunk(tag付き),,,,,,
,,,,,,,,,,,,,,,Eth1/5,Port,,Trunk(tag付き),,,,,,
,,,,,,,,,,,,,,,Eth1/6,Port,,Trunk(tag付き),,,,,,
,,,,,,,,,,,,,,,Eth1/7,Port,,Trunk(tag付き),,,,,,
,,,,,,,,,,,,,,,Eth1/8,Port,,Trunk(tag付き),,,,,,
,,,,,,,,,,,,,,nwtm-i9318-zlfs4042,Eth1/1,Port,,Trunk(tag付き),,,,,,
,,,,,,,,,,,,,,,Eth1/2,Port,,Trunk(tag付き),,,,,,
,,,,,,,,,,,,,,,Eth1/3,Port,,Trunk(tag付き),,,,,,
,,,,,,,,,,,,,,,Eth1/4,Port,,Trunk(tag付き),,,,,,
,,,,,,,,,,,,,,,Eth1/5,Port,,Trunk(tag付き),,,,,,
,,,,,,,,,,,,,,,Eth1/6,Port,,Trunk(tag付き),,,,,,
,,,,,,,,,,,,,,,Eth1/7,Port,,Trunk(tag付き),,,,,,
,,,,,,,,,,,,,,,Eth1/8,Port,,Trunk(tag付き),,,,,,
,,,,bd-pvMotion_m2020,有,無効,有効,11.18.133.129/26,l3out-popedist,epg-pvMotion_m2020,vMotionセグメント_Mintra2020,pvMotion_m2020,1274,nwtm-i9318-zlfs4031,Eth1/1,Port,,Trunk(tag付き),,,,本番運用,custom-qos-pope-pol,
,,,,,,,,,,,,,,,Eth1/2,Port,,Trunk(tag付き),,,,,,
